Quote Date,Year,State,Price
3/04/2024,2025,NSW,102.14
3/04/2024,2026,NSW,104.1
3/04/2024,2027,NSW,109.6
3/04/2024,2025,VIC,64.25
3/04/2024,2026,VIC,63.52
3/04/2024,2027,VIC,59.86
3/04/2024,2025,QLD,88.96
3/04/2024,2026,QLD,87.47
3/04/2024,2027,QLD,85.62
3/04/2024,2025,SA,84.63
3/04/2024,2026,SA,81.74
3/04/2024,2027,SA,83.69
2/04/2024,2025,NSW,101.55
2/04/2024,2026,NSW,103.63
2/04/2024,2027,NSW,109.36
2/04/2024,2025,VIC,63.73
2/04/2024,2026,VIC,62.48
2/04/2024,2027,VIC,58.96
2/04/2024,2025,QLD,88.15
2/04/2024,2026,QLD,87.14
2/04/2024,2027,QLD,85.31
2/04/2024,2025,SA,84.63
2/04/2024,2026,SA,81.74
2/04/2024,2027,SA,83.69
28/03/2024,2024,NSW,90.52
28/03/2024,2025,NSW,101.33
28/03/2024,2026,NSW,103.52
28/03/2024,2027,NSW,109.36
28/03/2024,2024,VIC,58.68
28/03/2024,2025,VIC,64.19
28/03/2024,2026,VIC,62.77
28/03/2024,2027,VIC,59.28
28/03/2024,2024,QLD,89.38
28/03/2024,2025,QLD,88.75
28/03/2024,2026,QLD,87.54
28/03/2024,2027,QLD,85.31
28/03/2024,2024,SA,74.03
28/03/2024,2025,SA,84.63
28/03/2024,2026,SA,81.74
28/03/2024,2027,SA,83.69
27/03/2024,2024,NSW,90.25
27/03/2024,2025,NSW,101.17
27/03/2024,2026,NSW,103.52
27/03/2024,2027,NSW,109.36
27/03/2024,2024,VIC,58.62
27/03/2024,2025,VIC,64.25
27/03/2024,2026,VIC,62.77
27/03/2024,2027,VIC,59.28
27/03/2024,2024,QLD,88.99
27/03/2024,2025,QLD,88.26
27/03/2024,2026,QLD,87.35
27/03/2024,2027,QLD,85.31
27/03/2024,2024,SA,74.03
27/03/2024,2025,SA,84.63
27/03/2024,2026,SA,81.74
27/03/2024,2027,SA,83.69
26/03/2024,2024,NSW,89.77
26/03/2024,2025,NSW,100.67
26/03/2024,2026,NSW,103.22
26/03/2024,2027,NSW,109.36
26/03/2024,2024,VIC,58.15
26/03/2024,2025,VIC,64.12
26/03/2024,2026,VIC,62.58
26/03/2024,2027,VIC,59.28
26/03/2024,2024,QLD,88.5
26/03/2024,2025,QLD,88.03
26/03/2024,2026,QLD,87.29
26/03/2024,2027,QLD,85.31
26/03/2024,2024,SA,74.03
26/03/2024,2025,SA,84.63
26/03/2024,2026,SA,81.74
26/03/2024,2027,SA,83.69
25/03/2024,2024,NSW,90.02
25/03/2024,2025,NSW,100.7
25/03/2024,2026,NSW,103.55
25/03/2024,2027,NSW,109.36
25/03/2024,2024,VIC,58.12
25/03/2024,2025,VIC,64.32
25/03/2024,2026,VIC,62.58
25/03/2024,2027,VIC,59.28
25/03/2024,2024,QLD,88.59
25/03/2024,2025,QLD,88.04
25/03/2024,2026,QLD,87.54
25/03/2024,2027,QLD,85.31
25/03/2024,2024,SA,74.03
25/03/2024,2025,SA,84.63
25/03/2024,2026,SA,81.74
25/03/2024,2027,SA,83.69
22/03/2024,2024,NSW,90.89
22/03/2024,2025,NSW,101.71
22/03/2024,2026,NSW,103.59
22/03/2024,2027,NSW,109.36
22/03/2024,2024,VIC,59.12
22/03/2024,2025,VIC,65.52
22/03/2024,2026,VIC,63.2
22/03/2024,2027,VIC,59.78
22/03/2024,2024,QLD,89.07
22/03/2024,2025,QLD,89.08
22/03/2024,2026,QLD,87.54
22/03/2024,2027,QLD,85.31
22/03/2024,2024,SA,74.03
22/03/2024,2025,SA,84.63
22/03/2024,2026,SA,81.97
22/03/2024,2027,SA,83.69
21/03/2024,2024,NSW,92.48
21/03/2024,2025,NSW,102.92
21/03/2024,2026,NSW,104.67
21/03/2024,2027,NSW,109.42
21/03/2024,2024,VIC,60.9
21/03/2024,2025,VIC,66.44
21/03/2024,2026,VIC,63.2
21/03/2024,2027,VIC,59.78
21/03/2024,2024,QLD,90.29
21/03/2024,2025,QLD,90.38
21/03/2024,2026,QLD,87.8
21/03/2024,2027,QLD,85.31
21/03/2024,2024,SA,73.32
21/03/2024,2025,SA,84.63
21/03/2024,2026,SA,81.97
21/03/2024,2027,SA,83.69
20/03/2024,2024,NSW,92.32
20/03/2024,2025,NSW,102.31
20/03/2024,2026,NSW,103.19
20/03/2024,2027,NSW,109.42
20/03/2024,2024,VIC,60.68
20/03/2024,2025,VIC,65.73
20/03/2024,2026,VIC,62.84
20/03/2024,2027,VIC,59.19
20/03/2024,2024,QLD,90
20/03/2024,2025,QLD,90.32
20/03/2024,2026,QLD,86.75
20/03/2024,2027,QLD,84.94
20/03/2024,2024,SA,73.32
20/03/2024,2025,SA,83.46
20/03/2024,2026,SA,81.02
20/03/2024,2027,SA,83.04
18/03/2024,2024,NSW,91.39
18/03/2024,2025,NSW,99.28
18/03/2024,2026,NSW,101.19
18/03/2024,2027,NSW,108.55
18/03/2024,2024,VIC,60.32
18/03/2024,2025,VIC,64.01
18/03/2024,2026,VIC,60.82
18/03/2024,2027,VIC,58.5
18/03/2024,2024,QLD,88.6
18/03/2024,2025,QLD,87.7
18/03/2024,2026,QLD,85.25
18/03/2024,2027,QLD,84.32
