Quote Date,Year,NSW,QLD,SA,VIC
2025-08-27,2028,115.71,91.8,96.0,78.27
2025-08-27,2027,115.06,95.86,94.08,74.75
2025-08-27,2026,117.75,101.05,95.72,77.69
2025-08-26,2027,114.8,95.72,94.08,74.8
2025-08-26,2028,115.39,91.59,95.93,78.27
2025-08-26,2026,117.4,100.63,95.72,77.74
2025-08-25,2026,116.85,100.13,95.72,77.27
2025-08-25,2028,115.14,91.4,95.0,78.23
2025-08-25,2027,114.76,95.6,94.08,74.45
2025-08-22,2026,117.39,100.38,96.01,77.81
2025-08-22,2028,115.17,91.5,95.0,78.23
2025-08-22,2027,114.91,95.69,94.15,74.49
2025-08-21,2027,114.83,95.68,94.75,74.52
2025-08-21,2026,117.21,100.38,96.32,77.75
2025-08-21,2028,115.09,91.5,95.0,78.23
2025-08-20,2028,115.05,91.5,95.0,78.23
2025-08-20,2026,117.19,100.5,96.33,78.42
2025-08-20,2027,114.52,95.68,94.89,74.9
2025-08-19,2026,117.17,101.0,96.2,78.7
2025-08-19,2027,114.35,95.85,94.73,74.9
2025-08-19,2028,114.93,91.5,95.0,78.17
2025-08-18,2028,116.08,91.95,95.0,78.23
2025-08-18,2027,115.33,96.26,94.73,75.77
2025-08-18,2026,117.95,102.01,96.2,79.58
2025-08-15,2027,115.38,96.23,94.73,75.77
2025-08-15,2026,118.2,101.97,96.2,79.61
2025-08-15,2028,116.14,91.88,95.0,78.23
2025-08-14,2026,117.85,101.7,96.2,79.44
2025-08-14,2027,115.23,96.26,94.73,75.77
2025-08-14,2028,116.02,91.88,95.0,78.1
2025-08-13,2026,118.62,102.1,96.2,80.12
2025-08-13,2028,116.28,91.67,95.0,77.67
2025-08-13,2027,115.53,96.26,94.73,75.84
2025-08-12,2027,115.41,96.2,94.73,75.87
2025-08-12,2028,116.0,91.67,94.8,77.28
2025-08-12,2026,118.59,101.84,96.2,80.12
2025-08-11,2026,118.46,101.64,96.2,79.99
2025-08-11,2027,115.0,96.2,94.73,75.63
